mode	category	task_name	policy_name	score
pvp	exploration	curriculum/Task_OccupyTile_(row:80_col:80)_reward_to:agent	takeru_50M	0.000000
pvp	exploration	curriculum/Task_OccupyTile_(row:80_col:80)_reward_to:agent	yaofeng_100M	0.000000
pvp	exploration	curriculum/Task_OccupyTile_(row:80_col:80)_reward_to:agent	yaofeng_200M	0.000000
pvp	exploration	curriculum/Task_OccupyTile_(row:80_col:80)_reward_to:agent	yaofeng_25M	0.000000
pvp	exploration	curriculum/Task_OccupyTile_(row:80_col:80)_reward_to:agent	yaofeng_50M	0.000000
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:1_quantity:20)_reward_to:agent	baseline_10M	0.034079
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:1_quantity:20)_reward_to:agent	learner	0.000385
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:1_quantity:20)_reward_to:agent	takeru_100M	0.109408
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:1_quantity:20)_reward_to:agent	takeru_200M	0.126529
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:1_quantity:20)_reward_to:agent	takeru_25M	0.078404
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:1_quantity:20)_reward_to:agent	takeru_50M	0.067757
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:1_quantity:20)_reward_to:agent	yaofeng_100M	0.174368
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:1_quantity:20)_reward_to:agent	yaofeng_200M	0.192922
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:1_quantity:20)_reward_to:agent	yaofeng_25M	0.069302
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:1_quantity:20)_reward_to:agent	yaofeng_50M	0.094425
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:3_quantity:20)_reward_to:agent	baseline_10M	0.000000
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:3_quantity:20)_reward_to:agent	learner	0.000000
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:3_quantity:20)_reward_to:agent	takeru_100M	0.001165
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:3_quantity:20)_reward_to:agent	takeru_200M	0.003877
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:3_quantity:20)_reward_to:agent	takeru_25M	0.001036
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:3_quantity:20)_reward_to:agent	takeru_50M	0.001354
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:3_quantity:20)_reward_to:agent	yaofeng_100M	0.005337
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:3_quantity:20)_reward_to:agent	yaofeng_200M	0.011174
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:3_quantity:20)_reward_to:agent	yaofeng_25M	0.002684
pvp	item	curriculum/Task_ConsumeItem_(item:Potion_level:3_quantity:20)_reward_to:agent	yaofeng_50M	0.003761
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:1_quantity:20)_reward_to:agent	baseline_10M	0.058507
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:1_quantity:20)_reward_to:agent	learner	0.001566
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:1_quantity:20)_reward_to:agent	takeru_100M	0.148112
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:1_quantity:20)_reward_to:agent	takeru_200M	0.149837
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:1_quantity:20)_reward_to:agent	takeru_25M	0.103590
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:1_quantity:20)_reward_to:agent	takeru_50M	0.093888
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:1_quantity:20)_reward_to:agent	yaofeng_100M	0.238115
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:1_quantity:20)_reward_to:agent	yaofeng_200M	0.241584
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:1_quantity:20)_reward_to:agent	yaofeng_25M	0.071282
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:1_quantity:20)_reward_to:agent	yaofeng_50M	0.177466
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:3_quantity:20)_reward_to:agent	baseline_10M	0.000303
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:3_quantity:20)_reward_to:agent	learner	0.000000
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:3_quantity:20)_reward_to:agent	takeru_100M	0.003024
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:3_quantity:20)_reward_to:agent	takeru_200M	0.005433
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:3_quantity:20)_reward_to:agent	takeru_25M	0.000685
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:3_quantity:20)_reward_to:agent	takeru_50M	0.001839
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:3_quantity:20)_reward_to:agent	yaofeng_100M	0.015429
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:3_quantity:20)_reward_to:agent	yaofeng_200M	0.017470
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:3_quantity:20)_reward_to:agent	yaofeng_25M	0.003032
pvp	item	curriculum/Task_ConsumeItem_(item:Ration_level:3_quantity:20)_reward_to:agent	yaofeng_50M	0.007124
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:1_num_agent:1)_reward_to:agent	baseline_10M	0.256673
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:1_num_agent:1)_reward_to:agent	learner	0.043182
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:1_num_agent:1)_reward_to:agent	takeru_100M	0.393658
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:1_num_agent:1)_reward_to:agent	takeru_200M	0.431453
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:1_num_agent:1)_reward_to:agent	takeru_25M	0.324923
