category	task_name	weight	policy_name	mode	seed	count	score
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	takeru_25M	pvp	1	53	0.083019
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	takeru_25M	pvp	12196392	46	0.119565
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	takeru_25M	pvp	19525770	56	0.155357
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	takeru_25M	pvp	28034063	41	0.182927
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	takeru_25M	pvp	31128942	42	0.145238
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	takeru_25M	pvp	42720373	44	0.126136
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	takeru_25M	pvp	47914166	54	0.152778
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	takeru_25M	pvp	97868113	44	0.109091
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	takeru_25M	pvp	99672462	41	0.109756
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	takeru_25M	pvp	99910280	47	0.172340
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	takeru_50M	pvp	1	48	0.150000
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	takeru_50M	pvp	12196392	44	0.068182
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	takeru_50M	pvp	19525770	47	0.140426
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	takeru_50M	pvp	28034063	49	0.184694
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	takeru_50M	pvp	31128942	40	0.171250
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	takeru_50M	pvp	42720373	51	0.158824
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	takeru_50M	pvp	47914166	47	0.168085
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	takeru_50M	pvp	97868113	51	0.173529
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	takeru_50M	pvp	99672462	37	0.162162
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	takeru_50M	pvp	99910280	47	0.188298
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_100M	pvp	1	45	0.341111
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_100M	pvp	12196392	52	0.309615
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_100M	pvp	19525770	54	0.279630
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_100M	pvp	28034063	37	0.313514
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_100M	pvp	31128942	25	0.448000
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_100M	pvp	42720373	49	0.394898
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_100M	pvp	47914166	48	0.294792
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_100M	pvp	97868113	55	0.365455
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_100M	pvp	99672462	42	0.384524
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_100M	pvp	99910280	36	0.373611
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_200M	pvp	1	52	0.400000
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_200M	pvp	12196392	50	0.436000
